Date,Close/Last,Volume,Open,High,Low
09/10/2024,$599.03,2863494,$595.21,$604.7992,$591.15
09/09/2024,$594.10,3411393,$598.32,$599.48,$575.27
09/06/2024,$596.88,2926369,$595.87,$600.61,$592.26
09/05/2024,$595.49,2144906,$604.19,$606.00,$589.67
09/04/2024,$604.18,2935040,$600.00,$607.94,$597.88
09/03/2024,$598.68,3175479,$592.52,$600.6599,$591.82
08/30/2024,$590.20,2944705,$590.00,$593.255,$586.59
08/29/2024,$591.57,1953372,$590.68,$592.61,$584.37
08/28/2024,$588.54,1657042,$589.01,$592.84,$583.87
08/27/2024,$587.35,1581952,$589.47,$592.34,$583.78
08/26/2024,$587.13,1800112,$588.05,$592.09,$585.74
08/23/2024,$584.51,2376416,$581.00,$585.205,$578.45
08/22/2024,$578.72,2282117,$579.25,$582.95,$570.62
08/21/2024,$578.07,2844546,$581.51,$583.39,$577.43
08/20/2024,$580.65,1677473,$579.85,$583.81,$575.50
08/19/2024,$578.78,1847941,$578.08,$583.30,$577.07
08/16/2024,$577.68,2728939,$580.92,$581.65,$574.10
08/15/2024,$579.61,2751927,$579.67,$583.34,$573.51
08/14/2024,$579.67,2344386,$575.24,$581.115,$573.2677
08/13/2024,$574.24,2369555,$569.99,$575.73,$569.00
08/12/2024,$565.29,2532389,$562.32,$569.00,$561.05
08/09/2024,$558.76,2976835,$564.54,$565.93,$557.63
08/08/2024,$566.24,2860848,$564.37,$572.45,$564.37
08/07/2024,$566.08,4320853,$566.61,$571.65,$557.025
08/06/2024,$568.35,3216525,$568.21,$577.52,$562.53
08/05/2024,$569.96,4587352,$582.12,$586.82,$566.7624
08/02/2024,$589.83,5094041,$582.33,$591.54,$575.25
08/01/2024,$572.77,3680778,$577.20,$587.50,$567.10
07/31/2024,$576.16,4713230,$565.44,$580.9032,$562.32
07/30/2024,$576.33,4139053,$566.90,$579.4299,$565.99
07/29/2024,$566.75,2965169,$565.71,$571.35,$561.76
07/26/2024,$569.72,3202023,$560.00,$579.13,$560.00
07/25/2024,$559.68,3102947,$562.00,$569.89,$558.58
07/24/2024,$559.75,3156232,$560.00,$561.13,$553.02
07/23/2024,$554.70,2785570,$558.79,$558.835,$552.8102
07/22/2024,$558.53,3377308,$563.05,$564.25,$557.08
07/19/2024,$565.33,4290440,$567.12,$569.90,$561.54
07/18/2024,$564.34,6834821,$564.50,$581.50,$561.4201
07/17/2024,$573.28,10330780,$554.00,$573.61,$551.30
07/16/2024,$548.87,11061990,$533.90,$549.92,$527.13
07/15/2024,$515.37,5127979,$524.24,$530.83,$513.80
07/12/2024,$511.53,3570624,$506.92,$514.57,$503.43
07/11/2024,$504.36,3536225,$497.70,$508.73,$497.70
07/10/2024,$500.93,3189837,$490.94,$501.50,$490.1201
07/09/2024,$492.11,3057284,$488.33,$495.40,$486.09
07/08/2024,$489.34,3450841,$489.19,$493.88,$486.17
07/05/2024,$488.01,3498996,$489.00,$489.67,$484.50
07/03/2024,$489.89,2239210,$497.12,$498.08,$486.52
07/02/2024,$498.24,3312171,$494.26,$498.47,$493.39
07/01/2024,$494.65,4523141,$506.745,$508.91,$492.891
06/28/2024,$509.26,22734200,$496.37,$509.40,$489.405
06/27/2024,$486.44,2992070,$485.05,$488.975,$482.05
06/26/2024,$484.04,3153096,$484.50,$487.44,$481.47
06/25/2024,$484.50,3209889,$490.64,$490.64,$480.60
06/24/2024,$489.98,5139763,$488.86,$490.89,$484.50
06/21/2024,$482.59,6775974,$484.44,$488.30,$480.59
06/20/2024,$484.52,5258232,$480.04,$485.92,$478.11
06/18/2024,$481.05,3692708,$490.71,$491.655,$479.04
06/17/2024,$489.23,2407163,$491.33,$493.12,$488.695
06/14/2024,$497.12,3188374,$496.83,$497.85,$491.73
06/13/2024,$497.30,4951694,$490.28,$502.00,$484.38
06/12/2024,$493.07,4048214,$500.00,$500.00,$487.415
06/11/2024,$496.22,4599726,$490.86,$497.78,$490.285
06/10/2024,$495.00,3332892,$491.00,$495.39,$486.19
06/07/2024,$490.69,3416349,$502.04,$502.86,$490.42
06/06/2024,$501.92,2419608,$503.65,$504.695,$497.28
06/05/2024,$503.12,2464359,$508.70,$509.10,$498.80
06/04/2024,$505.49,3178436,$498.56,$508.27,$494.59
06/03/2024,$497.44,2795265,$494.13,$498.68,$493.07
05/31/2024,$495.37,6694985,$482.41,$498.41,$482.41
05/30/2024,$481.65,5170507,$482.32,$486.03,$478.00
05/29/2024,$484.72,7521587,$492.34,$493.90,$473.27
05/28/2024,$503.68,2912992,$506.65,$506.65,$501.90
05/24/2024,$508.17,2528228,$516.11,$517.14,$507.52
05/23/2024,$516.83,3055555,$518.32,$520.225,$515.23
05/22/2024,$521.35,2299273,$522.82,$526.28,$520.65
05/21/2024,$523.55,2521986,$518.32,$524.72,$515.92
05/20/2024,$517.23,2476393,$524.63,$524.63,$516.54
05/17/2024,$524.63,2657396,$522.94,$525.85,$520.01
05/16/2024,$521.27,3655775,$520.00,$528.16,$519.51
05/15/2024,$517.55,2981351,$514.83,$522.59,$514.83
05/14/2024,$513.88,2949795,$514.58,$516.17,$507.30
05/13/2024,$511.74,2454689,$512.05,$514.67,$507.31
05/10/2024,$512.81,2784585,$509.00,$513.575,$507.00
05/09/2024,$507.03,2343066,$502.14,$507.97,$502.14
05/08/2024,$503.21,3079031,$504.17,$507.00,$500.075
05/07/2024,$500.96,3752131,$496.00,$501.65,$495.04
05/06/2024,$494.38,2029503,$492.48,$494.87,$492.00
05/03/2024,$492.45,2487811,$490.86,$492.785,$485.78
05/02/2024,$492.97,3561404,$484.28,$493.69,$483.94
05/01/2024,$484.11,2729234,$479.26,$489.19,$477.0664
04/30/2024,$483.70,3367521,$488.96,$489.71,$482.59
04/29/2024,$489.03,2192838,$495.71,$497.35,$487.77
04/26/2024,$495.35,2727016,$492.00,$497.23,$491.40
04/25/2024,$493.86,4329652,$488.96,$497.13,$487.53
04/24/2024,$487.30,3724418,$483.78,$488.86,$480.71
